12:31:28.341670 2.0 Mb/s 2412 MHz 11b -75dB signal antenna 3 Retry 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:28.346494 1.0 Mb/s 2412 MHz 11b -79dB signal antenna 3 304us Probe Response (JAMES B) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:28.349807 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:28.426468 1.0 Mb/s 2427 MHz 11b -82dB signal antenna 3 Retry 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:28.445893 1.0 Mb/s 2432 MHz 11b -86dB signal antenna 3 0us Beacon (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 4, PRIVACY
12:31:28.452140 2.0 Mb/s 2437 MHz 11b -65dB signal antenna 3 258us Probe Response (2WIRE135) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 6, PRIVACY
12:31:28.459769 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:28.485868 1.0 Mb/s 2442 MHz 11b -75dB signal antenna 3 0us Beacon (2135 0463) [1.0* 2.0* 5.5* 11.0* 22.0 Mbit] ESS CH: 6, PRIVACY
12:31:28.497906 1.0 Mb/s 2447 MHz 11b -84dB signal antenna 3 314us Probe Response (SCD_Cool) [1.0* 2.0* 5.5* 11.0* 18.0* 24.0* 36.0* 54.0* Mbit] CH: 8, PRIVACY
12:31:28.536154 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:28.538877 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 0us Beacon (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:31:28.542416 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:28.546062 1.0 Mb/s 2462 MHz 11b -77dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:30.996545 6.0 Mb/s 5785 MHz 11a -80dB signal antenna 3 0us Beacon (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:30.997432 6.0 Mb/s 5785 MHz 11a -80dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:31.254225 2.0 Mb/s 2412 MHz 11b -71dB signal antenna 3 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:31.262692 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:31.279252 1.0 Mb/s 2412 MHz 11b -87dB signal antenna 3 0us Beacon (sonicwall) [1.0* 2.0* 5.5* 11.0* Mbit] ESS CH: 1, PRIVACY
12:31:31.316203 1.0 Mb/s 2427 MHz 11b -85dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:31.341634 2.0 Mb/s 2437 MHz 11b -69dB signal antenna 3 Retry 258us Probe Response (2WIRE135) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 6, PRIVACY
12:31:31.354659 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:31.361919 1.0 Mb/s 2437 MHz 11b -88dB signal antenna 3 0us Beacon (HP-Print-05-Deskjet 3510 series) [1.0 2.0 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:31:31.373914 2.0 Mb/s 2442 MHz 11b -82dB signal antenna 3 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:31.385241 1.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 0us Beacon (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:31.390123 2.0 Mb/s 2442 MHz 11b -70dB signal antenna 3 0us Beacon (2WIRE095) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 8, PRIVACY
12:31:31.408901 2.0 Mb/s 2447 MHz 11b -68dB signal antenna 3 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:31.410405 2.0 Mb/s 2447 MHz 11b -67dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:31.411885 2.0 Mb/s 2447 MHz 11b -66dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:31.470360 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:31.473939 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:31.477592 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:33.918572 6.0 Mb/s 5785 MHz 11a -87dB signal antenna 3 0us Beacon (Cisco_7DE5120D) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:33.919567 6.0 Mb/s 5785 MHz 11a -81dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:34.219629 1.0 Mb/s 2427 MHz 11b -85dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:34.243982 2.0 Mb/s 2437 MHz 11b -65dB signal antenna 3 Retry 258us Probe Response (2WIRE135) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 6, PRIVACY
12:31:34.248065 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 Retry 304us Probe Response (USAFulfilment) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:34.255492 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 Retry 304us Probe Response (USAFulfilment) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:34.268810 1.0 Mb/s 2437 MHz 11b -86dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:34.275779 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 0us Beacon (USAFulfilment) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:34.281405 2.0 Mb/s 2442 MHz 11b -78dB signal antenna 3 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:34.282990 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 Retry 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:34.308827 2.0 Mb/s 2442 MHz 11b -78dB signal antenna 3 0us Beacon (2WIRE936) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 7, PRIVACY
12:31:34.353258 1.0 Mb/s 2462 MHz 11b -74dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:34.356894 1.0 Mb/s 2462 MHz 11b -77dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:34.360760 1.0 Mb/s 2462 MHz 11b -74dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:34.363269 2.0 Mb/s 2462 MHz 11b -83dB signal antenna 3 Retry 258us Probe Response (2WIRE475) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 11, PRIVACY
12:31:34.366637 2.0 Mb/s 2462 MHz 11b -82dB signal antenna 3 0us Beacon (2WIRE475) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:31:34.373287 1.0 Mb/s 2462 MHz 11b -74dB signal antenna 3 0us Beacon (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:31:34.382810 2.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 0us Beacon (2WIRE628) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:31:36.785772 6.0 Mb/s 5785 MHz 11a -87dB signal antenna 3 0us Beacon (Cisco_7DE5120D) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:36.786966 6.0 Mb/s 5785 MHz 11a -77dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:37.045227 2.0 Mb/s 2412 MHz 11b -66dB signal antenna 3 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:37.046706 2.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 Retry 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:37.048313 2.0 Mb/s 2412 MHz 11b -66dB signal antenna 3 Retry 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:37.096213 2.0 Mb/s 2422 MHz 11b -75dB signal antenna 3 0us Beacon (2WIRE210) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:31:37.105151 1.0 Mb/s 2427 MHz 11b -75dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:37.118004 1.0 Mb/s 2432 MHz 11b -81dB signal antenna 3 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.120823 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 0us Beacon (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:37.125036 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.133479 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.141744 1.0 Mb/s 2432 MHz 11b -79dB signal antenna 3 0us Beacon (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 4, PRIVACY
12:31:37.160692 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 0us Beacon (ATT952) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:37.167156 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.170526 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (ATT952) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.188867 1.0 Mb/s 2442 MHz 11b -77dB signal antenna 3 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.210022 1.0 Mb/s 2442 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.221931 2.0 Mb/s 2447 MHz 11b -68dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:37.223965 2.0 Mb/s 2447 MHz 11b -69dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:37.227008 2.0 Mb/s 2447 MHz 11b -69dB signal antenna 3 0us Beacon (2WIRE095) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 8, PRIVACY
12:31:37.231773 2.0 Mb/s 2447 MHz 11b -80dB signal antenna 3 0us Beacon (2WIRE135) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:31:37.247837 1.0 Mb/s 2447 MHz 11b -86dB signal antenna 3 0us Beacon (SCD_Cool) [1.0* 2.0* 5.5* 11.0* 18.0* 24.0* 36.0* 54.0* Mbit] ESS CH: 8, PRIVACY
12:31:37.282196 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:37.283071 6.0 Mb/s 2462 MHz 11g -88dB signal antenna 3 Retry 60us Probe Response (DIRECT-iaSCX-3400) [6.0* 9.0 12.0 18.0 24.0 36.0 48.0 54.0 Mbit] CH: 11, PRIVACY
12:31:37.287597 1.0 Mb/s 2462 MHz 11b -76dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:37.291122 1.0 Mb/s 2462 MHz 11b -77dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:39.803000 6.0 Mb/s 5785 MHz 11a -77dB signal antenna 3 0us Beacon (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:39.803912 6.0 Mb/s 5785 MHz 11a -77dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:40.068215 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:40.081288 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 0us Beacon (zonetwl) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:31:40.085687 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 0us Beacon (sonicwall) [1.0* 2.0* 5.5* 11.0* Mbit] ESS CH: 1, PRIVACY
12:31:40.094346 2.0 Mb/s 2417 MHz 11b -71dB signal antenna 3 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:40.144321 1.0 Mb/s 2427 MHz 11b -79dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:40.156576 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
